# Data source: VanderSat
# Creation date: 2024-10-22
# Copyright: 2024, VanderSat B.V.
# Documentation: https://docs.vandersat.com/
# Contact information: https://vandersat.com/contact/
# Unit K
date,LST-AMSR2-DESC_V1.0_1000
2016-09-22,282.8143
2016-09-23,284.7521
2016-09-24,286.6718
2016-09-25,280.1944
2016-09-26,277.4037
2016-09-27,276.7792
2016-09-28,279.3375
2016-09-29,279.4356
2016-09-30,282.7022
2016-10-01,284.1306
2016-10-02,285.5605
2016-10-03,286.9658
2016-10-04,283.9814
2016-10-05,278.1035
2016-10-06,273.8380
2016-10-07,273.8769
2016-10-08,274.5366
2016-10-09,276.0399
2016-10-10,280.8940
2016-10-11,277.0814
2016-10-12,273.6469
2016-10-13,272.5596
2016-10-14,277.9324
2016-10-15,282.0306
2016-10-16,278.9811
2016-10-17,278.9921
2016-10-18,276.9689
2016-10-19,276.8459
2016-10-20,276.1163
2016-10-21,277.1233
2016-10-22,275.1087
2016-10-23,278.5019
2016-10-24,274.0459
2016-10-25,278.3070
2016-10-26,277.9874
2016-10-27,277.8848
2016-10-28,282.0667
2016-10-29,278.1412
2016-10-30,275.5829
2016-10-31,279.5786
2016-11-01,276.1329
2016-11-02,276.1841
2016-11-03,275.9484
2016-11-04,277.1108
2016-11-05,276.9313
2016-11-06,279.1707
2016-11-07,280.2704
2016-11-08,274.8372
2016-11-09,277.7871
2016-11-10,279.5407
2016-11-11,273.3834
2016-11-12,276.1935
2016-11-13,278.5320
2016-11-14,275.0207
2016-11-15,279.3174
2016-11-16,277.9090
2016-11-17,275.3609
2016-11-18,272.9326
2016-11-19,268.4568
2016-11-20,272.3293
2016-11-21,271.4049
2016-11-22,273.9036
2016-11-23,274.7500
2016-11-24,274.0848
2016-11-25,272.0017
2016-11-26,272.0252
2016-11-27,272.9332
2016-11-28,272.3348
2016-11-29,273.3454
2016-11-30,272.1636
2016-12-01,273.4860
2016-12-02,273.9503
2016-12-03,272.1938
2016-12-04,273.8906
2016-12-05,272.0672
2016-12-06,271.7660
2016-12-07,269.8829
2016-12-08,270.0621
2016-12-09,268.3162
2016-12-10,266.5340
2016-12-11,267.5525
2016-12-12,268.2000
2016-12-13,268.3790
2016-12-14,268.0187
2016-12-15,266.6807
2016-12-16,267.6517
2016-12-17,267.6454
2016-12-18,265.1599
2016-12-19,269.2593
2016-12-20,272.6220
2016-12-21,273.3602
2016-12-22,271.4640
2016-12-23,270.6867
2016-12-24,269.9276
2016-12-25,270.0507
2016-12-26,276.5470
2016-12-27,270.8349
2016-12-28,269.1686
2016-12-29,272.3905
2016-12-30,270.9326
2016-12-31,270.7933
2017-01-01,271.5113
2017-01-02,271.1159
2017-01-03,270.1552
2017-01-04,268.4040
2017-01-05,267.7257
2017-01-06,267.5920
2017-01-07,266.3614
2017-01-08,265.3003
2017-01-09,266.1123
2017-01-10,268.1122
2017-01-11,265.3397
2017-01-12,266.2459
2017-01-13,264.8117
2017-01-14,266.2140
2017-01-15,265.2900
2017-01-16,
2017-01-17,266.4177
2017-01-18,
2017-01-19,
2017-01-20,285.6527
2017-01-21,283.1526
2017-01-22,278.8257
2017-01-23,273.6951
2017-01-24,269.2468
2017-01-25,267.0369
2017-01-26,267.9454
2017-01-27,265.9900
2017-01-28,267.2700
2017-01-29,281.3203
2017-01-30,275.0241
2017-01-31,271.0875
2017-02-01,265.6751
2017-02-02,263.6344
2017-02-03,263.4183
2017-02-04,267.4792
2017-02-05,265.7608
2017-02-06,265.8533
2017-02-07,
2017-02-08,263.5963
2017-02-09,263.2957
2017-02-10,276.9283
2017-02-11,273.0359
2017-02-12,270.2070
2017-02-13,270.9095
2017-02-14,271.2249
2017-02-15,268.3810
2017-02-16,271.0965
2017-02-17,276.4726
2017-02-18,269.6399
2017-02-19,274.3513
2017-02-20,276.0850
2017-02-21,272.6621
2017-02-22,272.4335
2017-02-23,268.2511
2017-02-24,267.5314
2017-02-25,266.9499
2017-02-26,267.6130
2017-02-27,267.5644
2017-02-28,266.9897
2017-03-01,267.3252
2017-03-02,266.7776
2017-03-03,267.0252
2017-03-04,269.6597
2017-03-05,272.6202
2017-03-06,274.5526
2017-03-07,270.1957
2017-03-08,268.2704
2017-03-09,268.6808
2017-03-10,265.6973
2017-03-11,267.2901
