# Data source: VanderSat
# Creation date: 2024-10-22
# Copyright: 2024, VanderSat B.V.
# Documentation: https://docs.vandersat.com/
# Contact information: https://vandersat.com/contact/
# Unit m3/m3
date,SM-AMSR2-C1-DESC_V5.0_1000
2018-05-11,0.2768
2018-05-12,0.2638
2018-05-13,0.2503
2018-05-14,0.2244
2018-05-15,0.2082
2018-05-16,0.2045
2018-05-17,0.1920
2018-05-18,0.2792
2018-05-19,0.3114
2018-05-20,0.2585
2018-05-21,0.2182
2018-05-22,0.2166
2018-05-23,0.2264
2018-05-24,0.2296
2018-05-25,0.2113
2018-05-26,0.1901
2018-05-27,0.1668
2018-05-28,0.2188
2018-05-29,0.2277
2018-05-30,0.2078
2018-05-31,0.2366
2018-06-01,0.2490
2018-06-02,0.3253
2018-06-03,0.2850
2018-06-04,0.2297
2018-06-05,0.2081
2018-06-06,0.2565
2018-06-07,0.2150
2018-06-08,0.2193
2018-06-09,0.2141
2018-06-10,0.2040
2018-06-11,0.2570
2018-06-12,0.2702
2018-06-13,0.2276
2018-06-14,0.2052
2018-06-15,0.2266
2018-06-16,0.2052
2018-06-17,0.2958
2018-06-18,0.2566
2018-06-19,0.2131
2018-06-20,0.2030
2018-06-21,0.1833
2018-06-22,0.1731
2018-06-23,0.2066
2018-06-24,0.2303
2018-06-25,0.2457
2018-06-26,0.2344
2018-06-27,0.2162
2018-06-28,0.1698
2018-06-29,0.2591
2018-06-30,0.2648
2018-07-01,0.2125
2018-07-02,0.1964
2018-07-03,0.1960
2018-07-04,0.2514
2018-07-05,0.2169
2018-07-06,0.2101
2018-07-07,0.1943
2018-07-08,0.1425
2018-07-09,0.1867
2018-07-10,0.1706
2018-07-11,0.1783
2018-07-12,0.1591
2018-07-13,0.1743
2018-07-14,0.1608
2018-07-15,0.1530
2018-07-16,0.1485
2018-07-17,0.1432
2018-07-18,0.1492
2018-07-19,0.1577
2018-07-20,0.1944
2018-07-21,0.1733
2018-07-22,0.2096
2018-07-23,0.1876
2018-07-24,0.1647
2018-07-25,0.1686
2018-07-26,0.1603
2018-07-27,0.1558
2018-07-28,0.1630
2018-07-29,0.1734
2018-07-30,0.1916
2018-07-31,0.1660
2018-08-01,0.1516
2018-08-02,0.1571
2018-08-03,0.1630
2018-08-04,0.1528
2018-08-05,0.1689
2018-08-06,0.1595
2018-08-07,0.1853
2018-08-08,0.1447
2018-08-09,0.1576
2018-08-10,0.1690
2018-08-11,0.1554
2018-08-12,0.1583
2018-08-13,0.1440
2018-08-14,0.1578
2018-08-15,0.1519
2018-08-16,0.1557
2018-08-17,0.1541
2018-08-18,0.1539
2018-08-19,0.1469
2018-08-20,0.1838
2018-08-21,0.1644
2018-08-22,0.1630
2018-08-23,0.1759
2018-08-24,0.1815
2018-08-25,0.1851
2018-08-26,0.1927
2018-08-27,0.2349
2018-08-28,0.2588
2018-08-29,0.2512
2018-08-30,0.2278
2018-08-31,0.1704
2018-09-01,0.1689
2018-09-02,0.1958
2018-09-03,0.1824
